Time,intRad_wes,intCon_wes,intLat_wes,intRad_hal,intCon_hal,intLat_hal,intRad_eas,intLat_eas,intCon_eas
9300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
9600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
9900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
10200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
10500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
10800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
11100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
11400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
11700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
12000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
12300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
12600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
12900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
13200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
13500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
13800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
14100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
14400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
14700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
15000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
15300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
15600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
15900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
16200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
16500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
16800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
17100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
17400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
17700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
18000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
18300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
18600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
18900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
19200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
19500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
19800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
20100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
20400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
20700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
21000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
21300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
21600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
21900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
22200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
22500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
22800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
23100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
23400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
23700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
24000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
24300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
24600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
24900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
25200,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
25500,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
25800,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
26100,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
26400,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
26700,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
27000,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
27300,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
27600,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
27900,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
28200,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
28500,0.4,0.4,0.2,0.8,0.8,0.4,0.4,0.2,0.4
28800,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
29100,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
29400,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
29700,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
30000,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
30300,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
30600,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
30900,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
31200,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
31500,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
31800,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
32100,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
32400,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
32700,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
33000,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
33300,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
33600,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
33900,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
34200,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
34500,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
34800,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
35100,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
35400,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
35700,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
36000,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
36300,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
36600,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
36900,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
37200,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
37500,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
37800,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
38100,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
38400,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
38700,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
39000,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
39300,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
39600,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
39900,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
40200,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
40500,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
40800,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
41100,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
41400,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
41700,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
42000,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
42300,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
42600,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
42900,7.2,7.2,3.6,0.8,0.8,0.4,7.2,3.6,7.2
43200,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
43500,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
43800,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
44100,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
44400,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
44700,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
45000,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
45300,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
45600,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
45900,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
46200,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
46500,6.4,6.4,3.2,0.8,0.8,0.4,6.4,3.2,6.4
46800,8,8,4,0.8,0.8,0.4,8,4,8
47100,8,8,4,0.8,0.8,0.4,8,4,8
47400,8,8,4,0.8,0.8,0.4,8,4,8
47700,8,8,4,0.8,0.8,0.4,8,4,8
48000,8,8,4,0.8,0.8,0.4,8,4,8
48300,8,8,4,0.8,0.8,0.4,8,4,8
48600,8,8,4,0.8,0.8,0.4,8,4,8
48900,8,8,4,0.8,0.8,0.4,8,4,8
49200,8,8,4,0.8,0.8,0.4,8,4,8
49500,8,8,4,0.8,0.8,0.4,8,4,8
49800,8,8,4,0.8,0.8,0.4,8,4,8
50100,8,8,4,0.8,0.8,0.4,8,4,8
50400,8,8,4,0.8,0.8,0.4,8,4,8
50700,8,8,4,0.8,0.8,0.4,8,4,8
51000,8,8,4,0.8,0.8,0.4,8,4,8
51300,8,8,4,0.8,0.8,0.4,8,4,8
51600,8,8,4,0.8,0.8,0.4,8,4,8
51900,8,8,4,0.8,0.8,0.4,8,4,8
52200,8,8,4,0.8,0.8,0.4,8,4,8
52500,8,8,4,0.8,0.8,0.4,8,4,8
52800,8,8,4,0.8,0.8,0.4,8,4,8
53100,8,8,4,0.8,0.8,0.4,8,4,8
53400,8,8,4,0.8,0.8,0.4,8,4,8
53700,8,8,4,0.8,0.8,0.4,8,4,8
54000,8,8,4,0.8,0.8,0.4,8,4,8
54300,8,8,4,0.8,0.8,0.4,8,4,8
54600,8,8,4,0.8,0.8,0.4,8,4,8
54900,8,8,4,0.8,0.8,0.4,8,4,8
55200,8,8,4,0.8,0.8,0.4,8,4,8
55500,8,8,4,0.8,0.8,0.4,8,4,8
55800,8,8,4,0.8,0.8,0.4,8,4,8
56100,8,8,4,0.8,0.8,0.4,8,4,8
56400,8,8,4,0.8,0.8,0.4,8,4,8
56700,8,8,4,0.8,0.8,0.4,8,4,8
57000,8,8,4,0.8,0.8,0.4,8,4,8
57300,8,8,4,0.8,0.8,0.4,8,4,8
57600,8,8,4,0.8,0.8,0.4,8,4,8
57900,8,8,4,0.8,0.8,0.4,8,4,8
58200,8,8,4,0.8,0.8,0.4,8,4,8
58500,8,8,4,0.8,0.8,0.4,8,4,8
58800,8,8,4,0.8,0.8,0.4,8,4,8
59100,8,8,4,0.8,0.8,0.4,8,4,8
59400,8,8,4,0.8,0.8,0.4,8,4,8
59700,8,8,4,0.8,0.8,0.4,8,4,8
60000,8,8,4,0.8,0.8,0.4,8,4,8
60300,8,8,4,0.8,0.8,0.4,8,4,8
60600,8,8,4,0.8,0.8,0.4,8,4,8
60900,8,8,4,0.8,0.8,0.4,8,4,8
61200,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
61500,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
61800,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
62100,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
62400,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
62700,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
63000,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
63300,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
63600,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
63900,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
64200,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
64500,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
64800,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
65100,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
65400,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
65700,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
66000,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
66300,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
66600,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
66900,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
67200,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
67500,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
67800,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
68100,0.8,0.8,0.4,0.8,0.8,0.4,0.8,0.4,0.8
68400,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
68700,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
69000,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
69300,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
69600,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
69900,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
70200,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
70500,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
70800,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
71100,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
71400,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
71700,0.8,0.8,0.4,0.4,0.4,0.2,0.8,0.4,0.8
72000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
72300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
72600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
72900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
73200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
73500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
73800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
74100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
74400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
74700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
75000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
75300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
75600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
75900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
76200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
76500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
76800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
77100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
77400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
77700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
78000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
78300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
78600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
78900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
79200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
79500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
79800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
80100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
80400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
80700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
81000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
81300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
81600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
81900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
82200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
82500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
82800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
83100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
83400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
83700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
84000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
84300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
84600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
84900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
85200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
85500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
85800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
86100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
86400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
86700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
87000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
87300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
87600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
87900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
88200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
88500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
88800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
89100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
89400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
89700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
90000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
90300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
90600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
90900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
91200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
91500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
91800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
92100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
92400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
92700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
93000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
93300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
93600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
93900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
94200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
94500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
94800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
95100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
95400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
95700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
96000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
96300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
96600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
96900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
97200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
97500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
97800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
98100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
98400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
98700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
99000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
99300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
99600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
99900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
100200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
100500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
100800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
101100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
101400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
101700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
102000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
102300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
102600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
102900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
103200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
103500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
103800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
104100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
104400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
104700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
105000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
105300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
105600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
105900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
106200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
106500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
106800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
107100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
107400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
107700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
108000,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
108300,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
108600,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
108900,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
109200,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
109500,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
109800,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
110100,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
110400,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
110700,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0.2,0.4
